comment_id,comment_text,date,category,reason
1,闪退严重！,2026-06-05,抱怨,闪退严重！
2,建议增加夜间模式,2026-06-05,建议,用户提出增加夜间模式
3,怎么注销账号,2026-06-06,询问,用户提问寻求帮助或信息
4,很好用！,2026-06-06,建议,用户表示产品很好用，可能希望得到更多改进或保持现状
5,卡顿受不了,2026-06-07,抱怨,用户提到卡顿
6,建议优化启动速度,2026-06-07,建议,用户提出优化启动速度的建议
7,会员怎么取消,2026-06-08,询问,用户提问如何取消会员
8,界面太丑，无语,2026-06-08,抱怨,界面设计不佳
9,建议添加搜索功能,2026-06-09,建议,用户提出新功能请求
10,功能强大，速度很快,2026-06-09,建议,用户对功能强大和速度快表示满意
11,耗电太快,2026-06-05,抱怨,耗电太快
12,建议支持离线模式,2026-06-06,建议,用户提出改进意见
13,如何联系客服,2026-06-07,询问,用户提问寻求帮助或信息
14,广告太多！,2026-06-08,抱怨,广告太多
15,建议改善客服响应,2026-06-09,建议,用户提出改进意见
16,良心应用~,2026-06-10,建议,用户表达正面评价
17,客服不回复,2026-06-05,抱怨,客服不回复
18,建议增加表情包,2026-06-06,建议,用户提出增加表情包的请求
19,什么时候更新,2026-06-07,询问,用户提问更新时间
20,功能找不到，无语,2026-06-08,抱怨,功能找不到，无语
21,建议降低会员价格,2026-06-09,建议,用户提出降低会员价格的建议
22,推送垃圾,2026-06-10,抱怨,用户提到推送垃圾
23,怎么导出数据,2026-06-05,询问,用户提问寻求帮助或信息
24,账号登不上,2026-06-06,抱怨,账号无法登录
25,建议支持多语言,2026-06-07,建议,用户提出多语言支持请求
26,支付失败,2026-06-08,抱怨,支付失败
27,数据丢失,2026-06-09,抱怨,数据丢失
28,建议增加历史记录,2026-06-10,建议,用户提出增加历史记录的请求
29,界面清爽,2026-06-05,建议,用户提到界面清爽
30,怎么改昵称,2026-06-06,询问,用户提问如何更改昵称
31,闪退又来了,2026-06-07,抱怨,用户提到闪退
32,建议加入手势操作,2026-06-08,建议,用户提出新功能请求
33,绑定手机失败,2026-06-09,抱怨,绑定手机失败
34,良心应用！,2026-06-10,建议,用户表达正面评价
35,卡的要命,2026-06-05,抱怨,用户提到卡顿
36,建议增加语音输入,2026-06-06,建议,用户提出增加语音输入的新功能请求
37,客服态度差,2026-06-07,抱怨,客服态度差
38,怎么开会员,2026-06-08,询问,用户提问寻求帮助或信息
39,经常闪退，烦,2026-06-09,抱怨,用户提到闪退，烦
40,建议优化推送,2026-06-10,建议,用户提出改进意见
41,很好用，推荐,2026-06-11,建议,用户推荐产品
42,怎么删除评论,2026-06-11,询问,用户提问如何删除评论
43,耗电像流水,2026-06-11,抱怨,耗电快
44,建议增加小组件,2026-06-11,建议,用户提出增加小组件
45,登录不上,2026-06-11,抱怨,登录不上
46,功能很实用,2026-06-11,建议,用户认为功能实用
47,建议简化界面,2026-06-11,建议,用户提出改进意见
48,怎么反馈bug,2026-06-11,询问,用户提问如何反馈bug
49,老闪退，求修复,2026-06-11,抱怨,用户提到闪退
50,太棒了！,2026-06-11,建议,用户表达正面情绪
